article_id,route,title,summary,steps
KB-ACCESS-01,access,Reset a locked workspace account,"Use when repeated sign-in attempts lock a user out even after the password is correct.","Confirm the workspace domain | Ask an admin to open Members and choose Unlock account | Have the user reset the password | Revoke old sessions if the lock repeats"
KB-ACCESS-02,access,Restore multi-factor authentication access,"Use when a user replaced or lost an authenticator device and cannot complete MFA.","Verify the approved recovery method | Ask a workspace owner to issue a recovery code | Enroll the new authenticator | Remove the lost device from trusted factors"
KB-ACCESS-03,access,Troubleshoot single sign-on loops,"Use when SSO returns a user to the login page or reports a mismatched identity.","Check the email claim from the identity provider | Confirm the workspace SSO domain | Clear the stale browser session | Re-test in a private window"
KB-BILL-01,billing,Explain duplicate card charges,"Use when two card transactions appear for one subscription renewal.","Compare posted and pending transactions | Check invoice identifiers | Wait for a pending authorization to expire | Escalate only if two charges are posted"
KB-BILL-02,billing,Correct an invoice tax profile,"Use when an invoice has the wrong company name tax number or billing address.","Open Billing profile | Update legal entity and tax fields | Save before the next invoice | Request a corrected invoice from billing support"
KB-BILL-03,billing,Resolve failed subscription renewal,"Use when a plan becomes past due after a renewal payment fails.","Confirm the card supports recurring payments | Update the payment method | Retry the open invoice | Confirm plan access is restored"
KB-SYNC-01,data_sync,Recover delayed warehouse synchronization,"Use when records exist in the source but have not arrived in the analytics warehouse.","Check the connector run timestamp | Compare the source cursor with the last checkpoint | Run a scoped incremental sync | Escalate with the run identifier if lag remains"
KB-SYNC-02,data_sync,Repair duplicate imported records,"Use when an import creates repeated rows after a retry or reconnect.","Identify the stable external record key | Pause the connector | Run deduplication by external key | Resume from the last clean checkpoint"
KB-SYNC-03,data_sync,Handle missing fields after CSV import,"Use when columns are blank or shifted following a CSV upload.","Confirm UTF-8 encoding | Check delimiter and header row | Map source columns in preview | Re-import a small validation sample"
KB-INT-01,integration,Diagnose webhook signature failures,"Use when webhook deliveries receive an invalid signature response.","Confirm the signing secret for the environment | Preserve the raw request body | Compute HMAC before JSON parsing | Rotate the secret if exposure is suspected"
KB-INT-02,integration,Recover an expired API credential,"Use when API requests suddenly return authentication or expired-token errors.","Identify the credential owner | Create a replacement with minimum scopes | Update the secret store | Revoke the expired credential after validation"
KB-INT-03,integration,Reduce API rate-limit errors,"Use when integrations receive HTTP 429 responses during bursts.","Read the retry-after header | Add exponential backoff with jitter | Batch compatible requests | Monitor request volume by endpoint"
KB-PERF-01,performance,Investigate slow dashboard loading,"Use when dashboards take much longer than normal to render.","Check query duration and browser timing | Reduce the selected date range | Identify high-cardinality widgets | Capture the dashboard and query identifiers for escalation"
KB-PERF-02,performance,Address report export timeouts,"Use when large PDF or CSV exports time out before download.","Narrow the report range | Remove unused columns | Schedule the export during lower load | Split very large exports into bounded batches"
KB-PERF-03,performance,Diagnose intermittent API latency,"Use when API response time spikes without consistent failures.","Record endpoint request ID and timestamp | Compare p50 and p95 latency | Check retry amplification | Escalate a trace covering the slow interval"

